,,,,
TABLE 1,,,,
,,Xmin,,
"PENEE WITH BASIL PESTO
SPAGHETTI",310,NoneNoneNoneNone,,
"SPAGHETTI ARABITA WITH CHICKEN
FUSSALI",380,NoneNoneNoneNone,,
"FUSSALI ALFREDO WITH CHICKEN
PENEE PEPRICA",380,NoneNoneNoneNone,,
PENEE PEPRICA WITH CHICKEN,380,NoneNoneNoneNone,,
RISSOTO,,NoneNoneNoneNone,,
RISSOTO,,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
MUSHROOM BROCCOLI RISSOTO,380,NoneNoneNoneNone,,
ASPARAGUS & GREEN ONION RISSOTO,380,NoneNoneNoneNone,,
CHICKEN WITH BRICCOLI RISSOTO,410,NoneNoneNoneNone,,
ASPARAGUS WITH GRIELD CHICKEN RISSOTO,410,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
TANDOORI STARTER VEG,,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
PANEER ACHARI TIKKA,280,NoneNoneNoneNone,,
"PANEER MAKHMALI ROLL
PANEER",280,NoneNoneNoneNone,,
PANEER KANDHARI TIKKA,280,NoneNoneNoneNone,,
PANEER TULSI TIKKA,280,NoneNoneNoneNone,,
SUBZ AUR CHEESE KI SHEEK,280,NoneNoneNoneNone,,
BHARWAN DHINGRI,310,NoneNoneNoneNone,,
BHARWAN ALOO,260,NoneNoneNoneNone,,
PANEER MALAI TIKKA,280,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
TANDOORI STARTER NON VEG,,NoneNoneNoneNone,,
,,NoneNoneNoneNone,,
TANDOORI MURG TIKKA,290,NoneNoneNoneNone,,
( Bonless Murg cookd in clay oven,,NoneNoneNoneNone,,
PATHRANI MURG TIKKA,290,NoneNoneNoneNone,,
( Bonless Murg Cookd With banana Leaf in Mangolirian sause,,NoneNoneNoneNone,,
TANDOORI HARIYALI MURG,290,NoneNoneNoneNone,,
( Bonless Murg Marinated With Curd & tandoori Spice & grild in Clay Oven ),,NoneNoneNoneNone,,
ACHARI MURG TIKKA,290,NoneNoneNoneNone,,
( Chef Special Bonless Murg Coockd With Clay Oven ),,NoneNoneNoneNone,,
